Statistical profiling result from isolate-0x103801600-v8.log, (5570 ticks, 453 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     56    1.0%          /usr/lib/system/libsystem_kernel.dylib
     21    0.4%          /usr/lib/system/libsystem_platform.dylib
     10    0.2%          /usr/lib/system/libsystem_pthread.dylib
     10    0.2%          /usr/lib/system/libsystem_malloc.dylib
      5    0.1%          /usr/lib/system/libsystem_c.dylib
      1    0.0%          /usr/lib/libc++.1.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    491    8.8%    9.0%  LazyCompile: *puzzles /Users/forestr/github/small-projects/learning/codefights/crossword.coffee:86:22
    176    3.2%    3.2%  LazyCompile: ~module.exports.(anonymous function) /Users/forestr/github/small-projects/learning/codefights/crossword.coffee:198:47
    123    2.2%    2.2%  LazyCompile: *DoJoin native array.js:97:16
     91    1.6%    1.7%  Stub: GetPropertyStub
     91    1.6%    1.7%  Stub: FastArrayPushStub
     64    1.1%    1.2%  LazyCompile: *ConvertToString native array.js:135:25
     62    1.1%    1.1%  LazyCompile: *Join native array.js:122:14
     54    1.0%    1.0%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     50    0.9%    0.9%  KeyedLoadIC: A keyed load IC from the snapshot
     48    0.9%    0.9%  Builtin: ObjectProtoToString
     44    0.8%    0.8%  Stub: CEntryStub
     40    0.7%    0.7%  LazyCompile: *StackPush native array.js:82:19
     37    0.7%    0.7%  Stub: FastNewSloppyArgumentsStub
     36    0.6%    0.7%  Stub: InternalArraySingleArgumentConstructorStub
     33    0.6%    0.6%  LazyCompile: *StackPop native array.js:85:18
     31    0.6%    0.6%  Builtin: ToString
     27    0.5%    0.5%  LazyCompile: *join native array.js:289:19
     24    0.4%    0.4%  Stub: JSEntryStub
     22    0.4%    0.4%  LazyCompile: *InnerArrayJoin native array.js:276:24
     20    0.4%    0.4%  Stub: LoadConstantStub
     20    0.4%    0.4%  Builtin: ArgumentsAdaptorTrampoline
     19    0.3%    0.3%  Builtin: CallFunction_ReceiverIsAny
     17    0.3%    0.3%  Stub: CEntryStub {1}
     17    0.3%    0.3%  Builtin: Construct
     15    0.3%    0.3%  LazyCompile: *UseSparseVariant native array.js:64:26
     11    0.2%    0.2%  Stub: RecordWriteStub {1}
     11    0.2%    0.2%  Stub: LoadConstantStub {1}
     11    0.2%    0.2%  Builtin: JSEntryTrampoline
     10    0.2%    0.2%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     10    0.2%    0.2%  Handler: join
      9    0.2%    0.2%  Stub: CompareICStub
      9    0.2%    0.2%  Builtin: FunctionPrototypeCall
      8    0.1%    0.1%  Handler: call
      7    0.1%    0.1%  LazyCompile: *StackHas native array.js:88:18
      6    0.1%    0.1%  Builtin: ArraySlice
      5    0.1%    0.1%  Stub: ToBooleanICStub(Undefined,Bool,SpecObject)
      5    0.1%    0.1%  LazyCompile: *ladders /Users/forestr/github/small-projects/learning/codefights/crossword.coffee:64:22
      5    0.1%    0.1%  Builtin: ConstructFunction
      4    0.1%    0.1%  Stub: InternalArrayConstructorStub
      3    0.1%    0.1%  Builtin: Call_ReceiverIsAny
      2    0.0%    0.0%  Stub: RecordWriteStub {8}
      2    0.0%    0.0%  Stub: RecordWriteStub {5}
      2    0.0%    0.0%  Stub: RecordWriteStub {4}
      2    0.0%    0.0%  Builtin: ToBoolean
      1    0.0%    0.0%  Stub: ToLengthStub
      1    0.0%    0.0%  Stub: StoreTransitionStub
      1    0.0%    0.0%  Stub: StoreFieldStub
      1    0.0%    0.0%  Stub: RecordWriteStub {7}
      1    0.0%    0.0%  Stub: RecordWriteStub {6}
